"address_line_1","address_line_2","city","name","phone","state","url","zip_code","address","Updated_Date"
"4500 N Oracle Road","Space 115","Tucson","Tucson Mall","(520) 888-0336","AZ","https://stores.ladyfootlocker.com/us/az/tucson/4500-n-oracle-road.html","85705","4500 N Oracle Road, Space 115, Tucson, AZ, 85705","2021-02-28"
"14200 E Alameda Ave","Space 2055","Aurora","Town Center At Aurora","(303) 363-8068","CO","https://stores.ladyfootlocker.com/us/co/aurora/14200-e-alameda-ave.html","80012","14200 E Alameda Ave, Space 2055, Aurora, CO, 80012","2021-02-28"
"1450 Ala Moana Blvd","Space 1231","Honolulu","Ala Moana Center","(808) 942-1071","HI","https://stores.ladyfootlocker.com/us/hi/honolulu/1450-ala-moana-blvd.html","96814","1450 Ala Moana Blvd, Space 1231, Honolulu, HI, 96814","2021-02-28"
"96 River Oaks Dr","","Calumet City","River Oaks Center","(708) 868-6229","IL","https://stores.ladyfootlocker.com/us/il/calumet-city/96-river-oaks-dr.html","60409","96 River Oaks Dr, Calumet City, IL, 60409","2021-02-28"
"6401 Bluebonnet Blvd","Space 2114","Baton Rouge","Mall Of Louisiana","(225) 767-2198","LA","https://stores.ladyfootlocker.com/us/la/baton-rouge/6401-bluebonnet-blvd.html","70836","6401 Bluebonnet Blvd, Space 2114, Baton Rouge, LA, 70836","2021-02-28"
"250 Granite Street","Ste 2062","Braintree","South Shore Plaza","(781) 843-3258","MA","https://stores.ladyfootlocker.com/us/ma/braintree/250-granite-street.html","02184","250 Granite Street, Ste 2062, Braintree, MA, 02184","2021-02-28"
"18000 Vernier Rd","Ste 806","Harper Woods","Eastland Center","(313) 839-0440","MI","https://stores.ladyfootlocker.com/us/mi/harper-woods/18000-vernier-rd.html","48225","18000 Vernier Rd, Ste 806, Harper Woods, MI, 48225","2021-02-28"
"2484 Saint Louis Galleria","","St. Louis","Saint Louis Galleria","(314) 862-9323","MO","https://stores.ladyfootlocker.com/us/mo/st-louis/2484-saint-louis-galleria.html","63117","2484 Saint Louis Galleria, St. Louis, MO, 63117","2021-02-28"
"5385 Meadowood Mall","Space D128","Reno","Meadowood Mall","(775) 825-7901","NV","https://stores.ladyfootlocker.com/us/nv/reno/5385-meadowood-mall.html","89502","5385 Meadowood Mall, Space D128, Reno, NV, 89502","2021-02-28"
"4325 Glenwood Avenue","Ste 2074","Raleigh","Crabtree Valley Mall","(919) 786-9864","NC","https://stores.ladyfootlocker.com/us/nc/raleigh/4325-glenwood-avenue.html","27612","4325 Glenwood Avenue, Ste 2074, Raleigh, NC, 27612","2021-02-28"
"5001 Monroe Street","Suite 936","Toledo","Franklin Park Mall","(419) 471-1473","OH","https://stores.ladyfootlocker.com/us/oh/toledo/5001-monroe-street.html","43623","5001 Monroe Street, Suite 936, Toledo, OH, 43623","2021-02-28"
"277 Lehigh Valley Mall","","Whitehall","Lehigh Valley Mall","(610) 264-5489","PA","https://stores.ladyfootlocker.com/us/pa/whitehall/277-lehigh-valley-mall.html","18052","277 Lehigh Valley Mall, Whitehall, PA, 18052","2021-02-28"
"700 Haywood Rd","","Greenville","Haywood Mall","(864) 297-4774","SC","https://stores.ladyfootlocker.com/us/sc/greenville/700-haywood-rd.html","29607","700 Haywood Rd, Greenville, SC, 29607","2021-02-28"
"7972l Tysons Corner","","Mclean","Tysons Corner Center","(703) 506-0908","VA","https://stores.ladyfootlocker.com/us/va/mclean/7972l-tysons-corner.html","22102","7972l Tysons Corner, Mclean, VA, 22102","2021-02-28"
"6000 Sepulveda Blvd","","Culver City","Westfield Culver City","(310) 391-8397","CA","https://stores.ladyfootlocker.com//us/ca/culver-city/6000-sepulveda-blvd.html","90230","6000 Sepulveda Blvd, Culver City, CA, 90230","2021-02-28"
"485 E Shaw Ave","","Fresno","Fashion Fair Mall","(559) 224-4407","CA","https://stores.ladyfootlocker.com//us/ca/fresno/485-e-shaw-ave.html","93710","485 E Shaw Ave, Fresno, CA, 93710","2021-02-28"
"2170 Glendale Galleria","","Glendale","Glendale Galleria","(818) 500-9206","CA","https://stores.ladyfootlocker.com//us/ca/glendale/2170-glendale-galleria.html","91210","2170 Glendale Galleria, Glendale, CA, 91210","2021-02-28"
"3401 Dale Road","Space 224","Modesto","Vintage Faire Mall","(209) 527-4501","CA","https://stores.ladyfootlocker.com//us/ca/modesto/3401-dale-road.html","95356","3401 Dale Road, Space 224, Modesto, CA, 95356","2021-02-28"
"1689 Arden Way","Ste 2178","Sacramento","Arden Fair Mall","(916) 921-9909","CA","https://stores.ladyfootlocker.com//us/ca/sacramento/1689-arden-way.html","95815","1689 Arden Way, Ste 2178, Sacramento, CA, 95815","2021-02-28"
"865 Market Street","Space 204","San Francisco","Westfield San Francisco Centre","(415) 512-9177","CA","https://stores.ladyfootlocker.com//us/ca/san-francisco/865-market-street.html","94103","865 Market Street, Space 204, San Francisco, CA, 94103","2021-02-28"
"24201 Valencia Blvd","Suite 1223","Valencia","Westfield Valencia Town Center","(661) 253-3798","CA","https://stores.ladyfootlocker.com//us/ca/valencia/24201-valencia-blvd.html","91355","24201 Valencia Blvd, Suite 1223, Valencia, CA, 91355","2021-02-28"
"795 Plaza Drive","","West Covina","Plaza At West Covina","(626) 813-6734","CA","https://stores.ladyfootlocker.com//us/ca/west-covina/795-plaza-drive.html","91790","795 Plaza Drive, West Covina, CA, 91790","2021-02-28"
"434 Christiana Mall","","Newark","Christiana Mall","(302) 456-9903","DE","https://stores.ladyfootlocker.com//us/de/newark/434-christiana-mall.html","19702","434 Christiana Mall, Newark, DE, 19702","2021-02-28"
"4737 Concord Pike","Ste 470","Wilmington","Concord Mall","(302) 478-9721","DE","https://stores.ladyfootlocker.com//us/de/wilmington/4737-concord-pike.html","19803","4737 Concord Pike, Ste 470, Wilmington, DE, 19803","2021-02-28"
"1455 Nw 107th Ave","","Doral","Miami International","(305) 593-1242","FL","https://stores.ladyfootlocker.com//us/fl/doral/1455-nw-107th-ave.html","33172","1455 Nw 107th Ave, Doral, FL, 33172","2021-02-28"
"11401 Pines Blvd","Space 810","Pembroke Pines","Pembroke Lakes Mall","(954) 438-0322","FL","https://stores.ladyfootlocker.com//us/fl/pembroke-pines/11401-pines-blvd.html","33026","11401 Pines Blvd, Space 810, Pembroke Pines, FL, 33026","2021-02-28"
"3131 Manchester Expy","Ste 6c","Columbus","Peachtree Mall","(706) 321-5866","GA","https://stores.ladyfootlocker.com//us/ga/columbus/3131-manchester-expy.html","31909","3131 Manchester Expy, Ste 6c, Columbus, GA, 31909","2021-02-28"
"2801 Candler Rd","Suite 26","Decatur","Gallery At South Dekalb","(404) 241-6114","GA","https://stores.ladyfootlocker.com//us/ga/decatur/2801-candler-rd.html","30034","2801 Candler Rd, Suite 26, Decatur, GA, 30034","2021-02-28"
"2929 Turner Hill Road","Suite 2205","Lithonia","Mall At Stonecrest","(770) 484-1497","GA","https://stores.ladyfootlocker.com//us/ga/lithonia/2929-turner-hill-road.html","30038","2929 Turner Hill Road, Suite 2205, Lithonia, GA, 30038","2021-02-28"
"11691 W 95th St","","Overland Park","Oak Park Mall","(913) 888-8548","KS","https://stores.ladyfootlocker.com//us/ks/overland-park/11691-w-95th-st.html","66214","11691 W 95th St, Overland Park, KS, 66214","2021-02-28"
"7700 E Kellogg St","Suite 729","Wichita","Towne East Square","(316) 686-4082","KS","https://stores.ladyfootlocker.com//us/ks/wichita/7700-e-kellogg-st.html","67207","7700 E Kellogg St, Suite 729, Wichita, KS, 67207","2021-02-28"
"2000 Route 38","Suite 1030","Cherry Hill","Cherry Hill Mall","(856) 662-7893","NJ","https://stores.ladyfootlocker.com//us/nj/cherry-hill/2000-route-38.html","08002","2000 Route 38, Suite 1030, Cherry Hill, NJ, 08002","2021-02-28"
"651 Kapkowski Rd","","Elizabeth","Jersey Gardens Mall","(908) 353-4241","NJ","https://stores.ladyfootlocker.com//us/nj/elizabeth/651-kapkowski-rd.html","07201","651 Kapkowski Rd, Elizabeth, NJ, 07201","2021-02-28"
"400 Route 38","Space 1730","Moorestown","Moorestown Mall","(856) 231-8261","NJ","https://stores.ladyfootlocker.com//us/nj/moorestown/400-route-38.html","08057","400 Route 38, Space 1730, Moorestown, NJ, 08057","2021-02-28"
"1750 Deptford Ctr Rd","Space 1190","Woodbury","Deptford Mall","(856) 848-1920","NJ","https://stores.ladyfootlocker.com//us/nj/woodbury/1750-deptford-ctr-rd.html","08096","1750 Deptford Ctr Rd, Space 1190, Woodbury, NJ, 08096","2021-02-28"
"1 Walden Galleria","Space D206","Buffalo","Walden Galleria Mall","(716) 681-0914","NY","https://stores.ladyfootlocker.com//us/ny/buffalo/1-walden-galleria.html","14225","1 Walden Galleria, Space D206, Buffalo, NY, 14225","2021-02-28"
"90-15 Queens Blvd","Space 2012","Elmhurst","Queens Fashion Center","(718) 760-3271","NY","https://stores.ladyfootlocker.com//us/ny/elmhurst/90-15-queens-blvd.html","11373","90-15 Queens Blvd, Space 2012, Elmhurst, NY, 11373","2021-02-28"
"630 Old Country Rd","Space 1154","Garden City","Roosevelt Field Mall","(516) 739-5425","NY","https://stores.ladyfootlocker.com//us/ny/garden-city/630-old-country-rd.html","11530","630 Old Country Rd, Space 1154, Garden City, NY, 11530","2021-02-28"
"523 Broadway","","New York","523 Broadway","(212) 965-0493","NY","https://stores.ladyfootlocker.com//us/ny/new-york/523-broadway.html","10012","523 Broadway, New York, NY, 10012","2021-02-28"
"200 C Avenue","","Lawton","Central Mall","(580) 353-4422","OK","https://stores.ladyfootlocker.com//us/ok/lawton/200-c-avenue.html","73501","200 C Avenue, Lawton, OK, 73501","2021-02-28"
"1901 Nw Expressway","Suite 2012","Oklahoma City","Penn Square Mall","(405) 848-4569","OK","https://stores.ladyfootlocker.com//us/ok/oklahoma-city/1901-nw-expressway.html","73118","1901 Nw Expressway, Suite 2012, Oklahoma City, OK, 73118","2021-02-28"
